competition,season,rank,squad
Premier League,2018/2019,17,Brighton
Premier League,2018/2019,18,Cardiff City
Premier League,2018/2019,19,Fulham
Premier League,2018/2019,20,Huddersfield
Ligue 1,2010/2011,1,Lille
Ligue 1,2010/2011,2,Marseille
Ligue 1,2010/2011,3,Lyon
Ligue 1,2010/2011,4,Paris S-G
Ligue 1,2010/2011,5,Sochaux
Ligue 1,2010/2011,6,Rennes
Ligue 1,2010/2011,7,Bordeaux
Ligue 1,2010/2011,8,Toulouse
Ligue 1,2010/2011,9,Auxerre
Ligue 1,2010/2011,10,Saint-Étienne
Ligue 1,2010/2011,11,Lorient
Ligue 1,2010/2011,12,Valenciennes
Ligue 1,2010/2011,13,Nancy
Ligue 1,2010/2011,14,Montpellier
Ligue 1,2010/2011,15,Caen
Ligue 1,2010/2011,16,Brest
Ligue 1,2010/2011,17,Nice
Ligue 1,2010/2011,18,Monaco
Ligue 1,2010/2011,19,Lens
Ligue 1,2010/2011,20,Arles-Avignon
Ligue 1,2011/2012,1,Montpellier
Ligue 1,2011/2012,2,Paris S-G
Ligue 1,2011/2012,3,Lille
Ligue 1,2011/2012,4,Lyon
Ligue 1,2011/2012,5,Bordeaux
Ligue 1,2011/2012,6,Rennes
Ligue 1,2011/2012,7,Saint-Étienne
Ligue 1,2011/2012,8,Toulouse
Ligue 1,2011/2012,9,Evian
Ligue 1,2011/2012,10,Marseille
Ligue 1,2011/2012,11,Nancy
Ligue 1,2011/2012,12,Valenciennes
Ligue 1,2011/2012,13,Nice
Ligue 1,2011/2012,14,Sochaux
Ligue 1,2011/2012,15,Brest
Ligue 1,2011/2012,16,Ajaccio
Ligue 1,2011/2012,17,Lorient
Ligue 1,2011/2012,18,Caen
Ligue 1,2011/2012,19,Dijon
Ligue 1,2011/2012,20,Auxerre
Ligue 1,2012/2013,1,Paris S-G
Ligue 1,2012/2013,2,Marseille
Ligue 1,2012/2013,3,Lyon
Ligue 1,2012/2013,4,Nice
Ligue 1,2012/2013,5,Saint-Étienne
Ligue 1,2012/2013,6,Lille
Ligue 1,2012/2013,7,Bordeaux
Ligue 1,2012/2013,8,Lorient
Ligue 1,2012/2013,9,Montpellier
Ligue 1,2012/2013,10,Toulouse
Ligue 1,2012/2013,11,Valenciennes
Ligue 1,2012/2013,12,Bastia
Ligue 1,2012/2013,13,Rennes
Ligue 1,2012/2013,14,Reims
Ligue 1,2012/2013,15,Sochaux
Ligue 1,2012/2013,16,Evian
Ligue 1,2012/2013,17,Ajaccio
Ligue 1,2012/2013,18,Nancy
Ligue 1,2012/2013,19,Troyes
Ligue 1,2012/2013,20,Brest
Ligue 1,2013/2014,1,Paris S-G
Ligue 1,2013/2014,2,Monaco
Ligue 1,2013/2014,3,Lille
Ligue 1,2013/2014,4,Saint-Étienne
Ligue 1,2013/2014,5,Lyon
Ligue 1,2013/2014,6,Marseille
Ligue 1,2013/2014,7,Bordeaux
Ligue 1,2013/2014,8,Lorient
Ligue 1,2013/2014,9,Toulouse
Ligue 1,2013/2014,10,Bastia
Ligue 1,2013/2014,11,Reims
Ligue 1,2013/2014,12,Rennes
Ligue 1,2013/2014,13,Nantes
Ligue 1,2013/2014,14,Evian
Ligue 1,2013/2014,15,Montpellier
Ligue 1,2013/2014,16,Guingamp
Ligue 1,2013/2014,17,Nice
Ligue 1,2013/2014,18,Sochaux
Ligue 1,2013/2014,19,Valenciennes
Ligue 1,2013/2014,20,Ajaccio
Ligue 1,2014/2015,1,Paris S-G
Ligue 1,2014/2015,2,Lyon
Ligue 1,2014/2015,3,Monaco
Ligue 1,2014/2015,4,Marseille
Ligue 1,2014/2015,5,Saint-Étienne
Ligue 1,2014/2015,6,Bordeaux
Ligue 1,2014/2015,7,Montpellier
Ligue 1,2014/2015,8,Lille
Ligue 1,2014/2015,9,Rennes
Ligue 1,2014/2015,10,Guingamp
Ligue 1,2014/2015,11,Nice
Ligue 1,2014/2015,12,Bastia
Ligue 1,2014/2015,13,Caen
Ligue 1,2014/2015,14,Nantes
Ligue 1,2014/2015,15,Reims
Ligue 1,2014/2015,16,Lorient
Ligue 1,2014/2015,17,Toulouse
Ligue 1,2014/2015,18,Evian
Ligue 1,2014/2015,19,Metz
Ligue 1,2014/2015,20,Lens
Ligue 1,2015/2016,1,Paris S-G
Ligue 1,2015/2016,2,Lyon
Ligue 1,2015/2016,3,Monaco
Ligue 1,2015/2016,4,Nice
Ligue 1,2015/2016,5,Lille
Ligue 1,2015/2016,6,Saint-Étienne
Ligue 1,2015/2016,7,Caen
Ligue 1,2015/2016,8,Rennes
Ligue 1,2015/2016,9,Angers
Ligue 1,2015/2016,10,Bastia
Ligue 1,2015/2016,11,Bordeaux
Ligue 1,2015/2016,12,Montpellier
Ligue 1,2015/2016,13,Marseille
Ligue 1,2015/2016,14,Nantes
Ligue 1,2015/2016,15,Lorient
Ligue 1,2015/2016,16,Guingamp
Ligue 1,2015/2016,17,Toulouse
Ligue 1,2015/2016,18,Reims
Ligue 1,2015/2016,19,Gazélec Ajaccio
Ligue 1,2015/2016,20,Troyes
Ligue 1,2016/2017,1,Monaco
Ligue 1,2016/2017,2,Paris S-G
Ligue 1,2016/2017,3,Nice
Ligue 1,2016/2017,4,Lyon
Ligue 1,2016/2017,5,Marseille
Ligue 1,2016/2017,6,Bordeaux
Ligue 1,2016/2017,7,Nantes
Ligue 1,2016/2017,8,Saint-Étienne
Ligue 1,2016/2017,9,Rennes
Ligue 1,2016/2017,10,Guingamp
Ligue 1,2016/2017,11,Lille
Ligue 1,2016/2017,12,Angers
Ligue 1,2016/2017,13,Toulouse
Ligue 1,2016/2017,14,Metz
Ligue 1,2016/2017,15,Montpellier
Ligue 1,2016/2017,16,Dijon
Ligue 1,2016/2017,17,Caen
Ligue 1,2016/2017,18,Lorient
Ligue 1,2016/2017,19,Nancy
Ligue 1,2016/2017,20,Bastia
Ligue 1,2017/2018,1,Paris S-G
Ligue 1,2017/2018,2,Monaco
Ligue 1,2017/2018,3,Lyon
Ligue 1,2017/2018,4,Marseille
Ligue 1,2017/2018,5,Rennes
Ligue 1,2017/2018,6,Bordeaux
Ligue 1,2017/2018,7,Saint-Étienne
Ligue 1,2017/2018,8,Nice
Ligue 1,2017/2018,9,Nantes
Ligue 1,2017/2018,10,Montpellier
Ligue 1,2017/2018,11,Dijon
Ligue 1,2017/2018,12,Guingamp
Ligue 1,2017/2018,13,Amiens
Ligue 1,2017/2018,14,Angers
Ligue 1,2017/2018,15,Strasbourg
Ligue 1,2017/2018,16,Caen
Ligue 1,2017/2018,17,Lille
Ligue 1,2017/2018,18,Toulouse
Ligue 1,2017/2018,19,Troyes
Ligue 1,2017/2018,20,Metz
Ligue 1,2018/2019,1,Paris S-G
Ligue 1,2018/2019,2,Lille
Ligue 1,2018/2019,3,Lyon
Ligue 1,2018/2019,4,Saint-Étienne
Ligue 1,2018/2019,5,Marseille
Ligue 1,2018/2019,6,Montpellier
Ligue 1,2018/2019,7,Nice
Ligue 1,2018/2019,8,Reims
Ligue 1,2018/2019,9,Nîmes
Ligue 1,2018/2019,10,Rennes
Ligue 1,2018/2019,11,Strasbourg
Ligue 1,2018/2019,12,Nantes
Ligue 1,2018/2019,13,Angers
Ligue 1,2018/2019,14,Bordeaux
Ligue 1,2018/2019,15,Amiens
Ligue 1,2018/2019,16,Toulouse
Ligue 1,2018/2019,17,Monaco
Ligue 1,2018/2019,18,Dijon
Ligue 1,2018/2019,19,Caen
Ligue 1,2018/2019,20,Guingamp
Bundesliga,2010/2011,1,Dortmund
Bundesliga,2010/2011,2,Leverkusen
Bundesliga,2010/2011,3,Bayern Munich
Bundesliga,2010/2011,4,Hannover 96
Bundesliga,2010/2011,5,Mainz 05
Bundesliga,2010/2011,6,Nürnberg
Bundesliga,2010/2011,7,Kaiserslautern
Bundesliga,2010/2011,8,Hamburger SV
Bundesliga,2010/2011,9,Freiburg
Bundesliga,2010/2011,10,Köln
Bundesliga,2010/2011,11,Hoffenheim
Bundesliga,2010/2011,12,Stuttgart
Bundesliga,2010/2011,13,Werder Bremen
Bundesliga,2010/2011,14,Schalke 04
Bundesliga,2010/2011,15,Wolfsburg
Bundesliga,2010/2011,16,M'Gladbach
Bundesliga,2010/2011,17,Eint Frankfurt
Bundesliga,2010/2011,18,St. Pauli
Bundesliga,2011/2012,1,Dortmund
Bundesliga,2011/2012,2,Bayern Munich
Bundesliga,2011/2012,3,Schalke 04
Bundesliga,2011/2012,4,M'Gladbach
Bundesliga,2011/2012,5,Leverkusen
Bundesliga,2011/2012,6,Stuttgart
Bundesliga,2011/2012,7,Hannover 96
Bundesliga,2011/2012,8,Wolfsburg
Bundesliga,2011/2012,9,Werder Bremen
Bundesliga,2011/2012,10,Nürnberg
Bundesliga,2011/2012,11,Hoffenheim
Bundesliga,2011/2012,12,Freiburg
Bundesliga,2011/2012,13,Mainz 05
Bundesliga,2011/2012,14,Augsburg
Bundesliga,2011/2012,15,Hamburger SV
Bundesliga,2011/2012,16,Hertha BSC
Bundesliga,2011/2012,17,Köln
Bundesliga,2011/2012,18,Kaiserslautern
Bundesliga,2012/2013,1,Bayern Munich
Bundesliga,2012/2013,2,Dortmund
Bundesliga,2012/2013,3,Leverkusen
Bundesliga,2012/2013,4,Schalke 04
Bundesliga,2012/2013,5,Freiburg
Bundesliga,2012/2013,6,Eint Frankfurt
Bundesliga,2012/2013,7,Hamburger SV
Bundesliga,2012/2013,8,M'Gladbach
Bundesliga,2012/2013,9,Hannover 96
Bundesliga,2012/2013,10,Nürnberg
Bundesliga,2012/2013,11,Wolfsburg
Bundesliga,2012/2013,12,Stuttgart
Bundesliga,2012/2013,13,Mainz 05
Bundesliga,2012/2013,14,Werder Bremen
Bundesliga,2012/2013,15,Augsburg
Bundesliga,2012/2013,16,Hoffenheim
Bundesliga,2012/2013,17,Düsseldorf
Bundesliga,2012/2013,18,Greuther Fürth
Bundesliga,2013/2014,1,Bayern Munich
Bundesliga,2013/2014,2,Dortmund
Bundesliga,2013/2014,3,Schalke 04
Bundesliga,2013/2014,4,Leverkusen
Bundesliga,2013/2014,5,Wolfsburg
Bundesliga,2013/2014,6,M'Gladbach
Bundesliga,2013/2014,7,Mainz 05
Bundesliga,2013/2014,8,Augsburg
Bundesliga,2013/2014,9,Hoffenheim
Bundesliga,2013/2014,10,Hannover 96
Bundesliga,2013/2014,11,Hertha BSC
Bundesliga,2013/2014,12,Werder Bremen
Bundesliga,2013/2014,13,Eint Frankfurt
Bundesliga,2013/2014,14,Freiburg
Bundesliga,2013/2014,15,Stuttgart
Bundesliga,2013/2014,16,Hamburger SV
Bundesliga,2013/2014,17,Nürnberg
Bundesliga,2013/2014,18,Braunschweig
Bundesliga,2014/2015,1,Bayern Munich
Bundesliga,2014/2015,2,Wolfsburg
Bundesliga,2014/2015,3,M'Gladbach
Bundesliga,2014/2015,4,Leverkusen
Bundesliga,2014/2015,5,Augsburg
Bundesliga,2014/2015,6,Schalke 04
Bundesliga,2014/2015,7,Dortmund
Bundesliga,2014/2015,8,Hoffenheim
Bundesliga,2014/2015,9,Eint Frankfurt
Bundesliga,2014/2015,10,Werder Bremen
Bundesliga,2014/2015,11,Mainz 05
Bundesliga,2014/2015,12,Köln
Bundesliga,2014/2015,13,Hannover 96
Bundesliga,2014/2015,14,Stuttgart
Bundesliga,2014/2015,15,Hertha BSC
Bundesliga,2014/2015,16,Hamburger SV
Bundesliga,2014/2015,17,Freiburg
Bundesliga,2014/2015,18,Paderborn 07
Bundesliga,2015/2016,1,Bayern Munich
Bundesliga,2015/2016,2,Dortmund
Bundesliga,2015/2016,3,Leverkusen
Bundesliga,2015/2016,4,M'Gladbach
Bundesliga,2015/2016,5,Schalke 04
Bundesliga,2015/2016,6,Mainz 05
Bundesliga,2015/2016,7,Hertha BSC
Bundesliga,2015/2016,8,Wolfsburg
Bundesliga,2015/2016,9,Köln
Bundesliga,2015/2016,10,Hamburger SV
Bundesliga,2015/2016,11,Ingolstadt 04
Bundesliga,2015/2016,12,Augsburg
Bundesliga,2015/2016,13,Werder Bremen
Bundesliga,2015/2016,14,Darmstadt 98
Bundesliga,2015/2016,15,Hoffenheim
Bundesliga,2015/2016,16,Eint Frankfurt
Bundesliga,2015/2016,17,Stuttgart
Bundesliga,2015/2016,18,Hannover 96
Bundesliga,2016/2017,1,Bayern Munich
Bundesliga,2016/2017,2,RB Leipzig
Bundesliga,2016/2017,3,Dortmund
Bundesliga,2016/2017,4,Hoffenheim
Bundesliga,2016/2017,5,Köln
Bundesliga,2016/2017,6,Hertha BSC
Bundesliga,2016/2017,7,Freiburg
Bundesliga,2016/2017,8,Werder Bremen
Bundesliga,2016/2017,9,M'Gladbach
Bundesliga,2016/2017,10,Schalke 04
Bundesliga,2016/2017,11,Eint Frankfurt
Bundesliga,2016/2017,12,Leverkusen
Bundesliga,2016/2017,13,Augsburg
Bundesliga,2016/2017,14,Hamburger SV
Bundesliga,2016/2017,15,Mainz 05
Bundesliga,2016/2017,16,Wolfsburg
Bundesliga,2016/2017,17,Ingolstadt 04
Bundesliga,2016/2017,18,Darmstadt 98
Bundesliga,2017/2018,1,Bayern Munich
Bundesliga,2017/2018,2,Schalke 04
Bundesliga,2017/2018,3,Hoffenheim
Bundesliga,2017/2018,4,Dortmund
Bundesliga,2017/2018,5,Leverkusen
Bundesliga,2017/2018,6,RB Leipzig
Bundesliga,2017/2018,7,Stuttgart
Bundesliga,2017/2018,8,Eint Frankfurt
Bundesliga,2017/2018,9,M'Gladbach
Bundesliga,2017/2018,10,Hertha BSC
Bundesliga,2017/2018,11,Werder Bremen
Bundesliga,2017/2018,12,Augsburg
Bundesliga,2017/2018,13,Hannover 96
Bundesliga,2017/2018,14,Mainz 05
Bundesliga,2017/2018,15,Freiburg
Bundesliga,2017/2018,16,Wolfsburg
Bundesliga,2017/2018,17,Hamburger SV
Bundesliga,2017/2018,18,Köln
Bundesliga,2018/2019,1,Bayern Munich
Bundesliga,2018/2019,2,Dortmund
Bundesliga,2018/2019,3,RB Leipzig
Bundesliga,2018/2019,4,Leverkusen
Bundesliga,2018/2019,5,M'Gladbach
Bundesliga,2018/2019,6,Wolfsburg
Bundesliga,2018/2019,7,Eint Frankfurt
Bundesliga,2018/2019,8,Werder Bremen
Bundesliga,2018/2019,9,Hoffenheim
Bundesliga,2018/2019,10,Düsseldorf
Bundesliga,2018/2019,11,Hertha BSC
Bundesliga,2018/2019,12,Mainz 05
Bundesliga,2018/2019,13,Freiburg
Bundesliga,2018/2019,14,Schalke 04
Bundesliga,2018/2019,15,Augsburg
Bundesliga,2018/2019,16,Stuttgart
Bundesliga,2018/2019,17,Hannover 96
Bundesliga,2018/2019,18,Nürnberg
Serie A,2010/2011,1,Milan
Serie A,2010/2011,2,Inter
Serie A,2010/2011,3,Napoli
Serie A,2010/2011,4,Udinese
Serie A,2010/2011,5,Lazio
Serie A,2010/2011,6,Roma
Serie A,2010/2011,7,Juventus
Serie A,2010/2011,8,Palermo
Serie A,2010/2011,9,Fiorentina
Serie A,2010/2011,10,Genoa
Serie A,2010/2011,11,Chievo
Serie A,2010/2011,12,Parma
Serie A,2010/2011,13,Catania
Serie A,2010/2011,14,Cagliari
Serie A,2010/2011,15,Cesena
Serie A,2010/2011,16,Bologna
Serie A,2010/2011,17,Lecce
Serie A,2010/2011,18,Sampdoria
Serie A,2010/2011,19,Brescia
Serie A,2010/2011,20,Bari
Serie A,2011/2012,1,Juventus
Serie A,2011/2012,2,Milan
Serie A,2011/2012,3,Udinese
Serie A,2011/2012,4,Lazio
Serie A,2011/2012,5,Napoli
Serie A,2011/2012,6,Inter
Serie A,2011/2012,7,Roma
Serie A,2011/2012,8,Parma
Serie A,2011/2012,9,Bologna
Serie A,2011/2012,10,Chievo
Serie A,2011/2012,11,Catania
Serie A,2011/2012,12,Atalanta
Serie A,2011/2012,13,Fiorentina
Serie A,2011/2012,14,Siena
Serie A,2011/2012,15,Cagliari
Serie A,2011/2012,16,Palermo
Serie A,2011/2012,17,Genoa
Serie A,2011/2012,18,Lecce
Serie A,2011/2012,19,Novara
Serie A,2011/2012,20,Cesena
Serie A,2012/2013,1,Juventus
Serie A,2012/2013,2,Napoli
Serie A,2012/2013,3,Milan
Serie A,2012/2013,4,Fiorentina
Serie A,2012/2013,5,Udinese
Serie A,2012/2013,6,Roma
Serie A,2012/2013,7,Lazio
Serie A,2012/2013,8,Catania
Serie A,2012/2013,9,Inter
Serie A,2012/2013,10,Parma
Serie A,2012/2013,11,Cagliari
Serie A,2012/2013,12,Chievo
Serie A,2012/2013,13,Bologna
Serie A,2012/2013,14,Sampdoria
Serie A,2012/2013,15,Atalanta
Serie A,2012/2013,16,Torino
Serie A,2012/2013,17,Genoa
Serie A,2012/2013,18,Palermo
Serie A,2012/2013,19,Siena
Serie A,2012/2013,20,Pescara
Serie A,2013/2014,1,Juventus
Serie A,2013/2014,2,Roma
Serie A,2013/2014,3,Napoli
Serie A,2013/2014,4,Fiorentina
Serie A,2013/2014,5,Inter
Serie A,2013/2014,6,Parma
Serie A,2013/2014,7,Torino
Serie A,2013/2014,8,Milan
Serie A,2013/2014,9,Lazio
Serie A,2013/2014,10,Hellas Verona
Serie A,2013/2014,11,Atalanta
Serie A,2013/2014,12,Sampdoria
Serie A,2013/2014,13,Udinese
Serie A,2013/2014,14,Genoa
Serie A,2013/2014,15,Cagliari
Serie A,2013/2014,16,Chievo
Serie A,2013/2014,17,Sassuolo
Serie A,2013/2014,18,Catania
Serie A,2013/2014,19,Bologna
Serie A,2013/2014,20,Livorno
Serie A,2014/2015,1,Juventus
Serie A,2014/2015,2,Roma
Serie A,2014/2015,3,Lazio
Serie A,2014/2015,4,Fiorentina
Serie A,2014/2015,5,Napoli
Serie A,2014/2015,6,Genoa
Serie A,2014/2015,7,Sampdoria
Serie A,2014/2015,8,Inter
Serie A,2014/2015,9,Torino
Serie A,2014/2015,10,Milan
Serie A,2014/2015,11,Palermo
Serie A,2014/2015,12,Sassuolo
Serie A,2014/2015,13,Hellas Verona
Serie A,2014/2015,14,Chievo
Serie A,2014/2015,15,Empoli
Serie A,2014/2015,16,Udinese
Serie A,2014/2015,17,Atalanta
Serie A,2014/2015,18,Cagliari
Serie A,2014/2015,19,Cesena
Serie A,2014/2015,20,Parma
Serie A,2015/2016,1,Juventus
Serie A,2015/2016,2,Napoli
Serie A,2015/2016,3,Roma
Serie A,2015/2016,4,Inter
Serie A,2015/2016,5,Fiorentina
Serie A,2015/2016,6,Sassuolo
Serie A,2015/2016,7,Milan
Serie A,2015/2016,8,Lazio
Serie A,2015/2016,9,Chievo
Serie A,2015/2016,10,Empoli
Serie A,2015/2016,11,Genoa
Serie A,2015/2016,12,Torino
Serie A,2015/2016,13,Atalanta
Serie A,2015/2016,14,Bologna
Serie A,2015/2016,15,Sampdoria
Serie A,2015/2016,16,Palermo
Serie A,2015/2016,17,Udinese
Serie A,2015/2016,18,Carpi
Serie A,2015/2016,19,Frosinone
Serie A,2015/2016,20,Hellas Verona
Serie A,2016/2017,1,Juventus
Serie A,2016/2017,2,Roma
Serie A,2016/2017,3,Napoli
Serie A,2016/2017,4,Atalanta
Serie A,2016/2017,5,Lazio
Serie A,2016/2017,6,Milan
Serie A,2016/2017,7,Inter
Serie A,2016/2017,8,Fiorentina
Serie A,2016/2017,9,Torino
Serie A,2016/2017,10,Sampdoria
Serie A,2016/2017,11,Cagliari
Serie A,2016/2017,12,Sassuolo
Serie A,2016/2017,13,Udinese
Serie A,2016/2017,14,Chievo
Serie A,2016/2017,15,Bologna
Serie A,2016/2017,16,Genoa
Serie A,2016/2017,17,Crotone
Serie A,2016/2017,18,Empoli
Serie A,2016/2017,19,Palermo
Serie A,2016/2017,20,Pescara
Serie A,2017/2018,1,Juventus
Serie A,2017/2018,2,Napoli
Serie A,2017/2018,3,Roma
Serie A,2017/2018,4,Inter
Serie A,2017/2018,5,Lazio
Serie A,2017/2018,6,Milan
Serie A,2017/2018,7,Atalanta
Serie A,2017/2018,8,Fiorentina
Serie A,2017/2018,9,Torino
Serie A,2017/2018,10,Sampdoria
Serie A,2017/2018,11,Sassuolo
Serie A,2017/2018,12,Genoa
Serie A,2017/2018,13,Chievo
Serie A,2017/2018,14,Udinese
Serie A,2017/2018,15,Bologna
Serie A,2017/2018,16,Cagliari
Serie A,2017/2018,17,SPAL
Serie A,2017/2018,18,Crotone
Serie A,2017/2018,19,Hellas Verona
Serie A,2017/2018,20,Benevento
Serie A,2018/2019,1,Juventus
Serie A,2018/2019,2,Napoli
Serie A,2018/2019,3,Atalanta
Serie A,2018/2019,4,Inter
Serie A,2018/2019,5,Milan
Serie A,2018/2019,6,Roma
Serie A,2018/2019,7,Torino
Serie A,2018/2019,8,Lazio
Serie A,2018/2019,9,Sampdoria
Serie A,2018/2019,10,Bologna
Serie A,2018/2019,11,Sassuolo
Serie A,2018/2019,12,Udinese
Serie A,2018/2019,13,SPAL
Serie A,2018/2019,14,Parma
Serie A,2018/2019,15,Cagliari
Serie A,2018/2019,16,Fiorentina
Serie A,2018/2019,17,Genoa
Serie A,2018/2019,18,Empoli
